  SEDIMENT-YIELD ESTIMATION - SYPOME3

  * Version 3
  * SY equation based on the principle of maximum entropy
  * Program can only compute up to 1500 events
                        
  Universidade Federal do Ceara
  University of Birmingham
  Jose Carlos de Araujo, 2004
  Technische Unibversitat Berlin
  Pedro Alencar, 2019

 --------------------------------------------------------------
 Title: Canabrava           
 --------------------------------------------------------------
 Input file .....................................               defaut
 Output file ....................................               defaut
 Number of precipitation gauges .................    1
 Number of cells ................................    1
 Number of events ...............................  960
 ------------------------------------------------------------
 Precipitation gauge number .....................    1
 ------------------------------------------------------------
    i     id    date      D(mm)     Dur(min)    R(MJ.mm/ha/h)      
  269    269  20435       2.62        598.6       437.4
  270    270  20488       0.05       2370.1      1559.5
  271    271  20489       1.60       1807.8       672.2
  272    272  20492       0.13        461.3       318.3
  273    273  20493       0.40        197.6       136.1
  274    274  20494       4.74        637.5       466.3
  275    275  20495      11.35       1214.5       871.0
  276    276  20496       0.05        464.8       310.6
  277    277  20498      33.97       2483.2      1732.0
  278    278  20500       3.41       1526.8       807.3
  279    279  20504      31.01       1562.4      1135.3
  280    280  20505       0.58        255.8       182.8
  281    281  20512      19.41        442.2       249.3
  282    282  20513       2.26        207.9       126.8
  283    283  20537      10.86       2470.1      1666.1
  284    284  20538       8.95       1737.2      1069.6
  285    285  20540      11.35       2282.7      1275.8
  286    286  20541       0.79        810.0       495.8
  287    287  20543       0.58        594.5       405.1
  288    288  20544       5.22        857.6       617.9
  289    289  20545       1.92       1781.7       707.2
  290    290  20547       3.01        409.5       292.0
  291    291  20550       0.79       1284.7       563.1
  292    292  20554       0.40        336.2       248.1
  293    293  20556       2.70        537.1       393.7
  294    294  20558      20.86        445.2       247.1
  295    295  20561      12.61        560.9       373.2
  296    296  20562       0.79        597.6       414.6
  297    297  20564       3.84       1573.9       838.3
  298    298  20566       1.60       1301.3       651.7
  299    299  20813       0.06       1266.9       393.4
  300    300  20816      21.88       3316.2      1802.0
  301    301  20876       5.51       7237.2      3228.0
  302    302  20878      26.48       1462.0      1063.4
  303    303  20881       0.13        157.0       106.7
  304    304  20883       4.28        592.0       432.7
  305    305  20884       0.13        277.2       205.3
  306    306  20885      11.35       2933.2      1356.3
  307    307  20886      44.91       3493.1      2311.1
  308    308  20888      16.60        435.7       252.9
  309    309  20893       0.01        566.1       326.3
  310    310  20905       4.08        329.4       173.2
  311    311  20909      11.97       1608.0      1083.1
  312    312  21263       0.17       2265.7      1542.5
  313    313  21266       0.05       1090.3       390.2
  314    314  21267       0.02        714.1       361.4
  315    315  21271      62.11      12854.4      3543.9
  316    316  21562       2.89        606.4       412.0
  317    317  21563       0.04        787.4       379.5
  318    318  21565      15.92       2634.4      1492.5
  319    319  21569       0.01        107.8        70.6
  320    320  21570      10.73       1409.0       973.4
  321    321  21584       0.40         37.5        10.1
  322    322  21597       9.94       2563.2      1686.0
  323    323  21601      42.21       9255.6      2780.8
  324    324  21605      26.09       1795.5      1292.3
  325    325  21609       0.05        318.1       233.6
  326    326  22016      10.39        685.3       426.2
  327    327  22017       3.41       1458.0       796.4
  328    328  22018      32.36       1001.6       677.4
  329    329  22268       6.47        318.0       194.8
  330    330  22270       9.06       1656.9      1047.2
  331    331  22271       2.26        908.5       597.4
  332    332  22626       1.03       1005.5       560.4
  333    333  22627       1.30        570.2       410.2
  334    334  22628       1.60        276.2       189.7
  335    335  22629       1.92        338.1       239.6
  336    336  22630       2.26        557.5       408.1
  337    337  22631       2.62        845.8       579.8
  338    338  22632       3.01        687.6       497.6
  339    339  22633       3.41        293.4       190.9
  340    340  22634       3.84       1021.9       685.9
  341    341  22635       4.28        892.7       630.2
  342    342  22636       4.74        270.1       164.0
  343    343  22637       5.22       1924.9       959.3
  344    344  22638       5.71       1488.1       900.9
  345    345  22639       6.21       1374.3       880.1
  346    346  22640       6.73       1646.1       977.4
  347    347  22679       1.32       3749.9      2227.9
  348    348  22684       3.84        718.1       521.9
  349    349  22691       3.76       5225.0      2820.5
  350    350  22698       0.95       1547.3      1122.5
  351    351  22699       4.28        398.2       274.9
